date,country,D,H,I,M,S
2021-11-11,Afghanistan,3,0,0,37,0
2021-11-11,Japan,25,0,0,101,0
2021-11-11,Sweden,1,0,0,9,0
2021-11-12,Afghanistan,3,0,0,37,0
2021-11-12,Japan,25,0,0,101,0
2021-11-12,Sweden,1,0,0,9,0
2021-11-13,Afghanistan,3,0,0,37,0
2021-11-13,Japan,25,0,0,101,0
2021-11-13,Sweden,1,0,0,9,0
2021-11-14,Afghanistan,3,0,0,37,0
2021-11-14,Japan,25,0,0,101,0
2021-11-14,Sweden,1,0,0,9,0
2021-11-15,Afghanistan,3,0,0,37,0
2021-11-15,Japan,25,0,0,101,0
2021-11-15,Sweden,1,0,0,9,0
2021-11-16,Afghanistan,3,0,0,37,0
2021-11-16,Japan,25,0,0,101,0
2021-11-16,Sweden,1,0,0,9,0
2021-11-17,Afghanistan,3,0,0,37,0
2021-11-17,Japan,25,0,0,101,0
2021-11-17,Sweden,1,0,0,9,0
2021-11-18,Afghanistan,3,0,0,37,0
2021-11-18,Japan,25,0,0,101,0
2021-11-18,Sweden,1,0,0,9,0
2021-11-19,Afghanistan,3,0,0,37,0
2021-11-19,Japan,25,0,0,101,0
2021-11-19,Sweden,1,0,0,9,0
2021-11-20,Afghanistan,3,0,0,37,0
2021-11-20,Japan,25,0,0,101,0
2021-11-20,Sweden,1,0,0,9,0
2021-11-21,Afghanistan,3,0,0,37,0
2021-11-21,Japan,25,0,0,101,0
2021-11-21,Sweden,1,0,0,9,0
2021-11-22,Afghanistan,3,0,0,37,0
2021-11-22,Japan,25,0,0,101,0
2021-11-22,Sweden,1,0,0,9,0
2021-11-23,Afghanistan,3,0,0,37,0
2021-11-23,Japan,25,0,0,101,0
2021-11-23,Sweden,1,0,0,9,0
2021-11-24,Afghanistan,3,0,0,37,0
2021-11-24,Japan,25,0,0,101,0
2021-11-24,Sweden,1,0,0,9,0
2021-11-25,Afghanistan,3,0,0,37,0
2021-11-25,Japan,25,0,0,101,0
2021-11-25,Sweden,1,0,0,9,0
2021-11-26,Afghanistan,3,0,0,37,0
2021-11-26,Japan,25,0,0,101,0
2021-11-26,Sweden,1,0,0,9,0
2021-11-27,Afghanistan,3,0,0,37,0
2021-11-27,Japan,25,0,0,101,0
2021-11-27,Sweden,1,0,0,9,0
2021-11-28,Afghanistan,3,0,0,37,0
2021-11-28,Japan,25,0,0,101,0
2021-11-28,Sweden,1,0,0,9,0
2021-11-29,Afghanistan,3,0,0,37,0
2021-11-29,Japan,25,0,0,101,0
2021-11-29,Sweden,1,0,0,9,0
2021-11-30,Afghanistan,3,0,0,37,0
2021-11-30,Japan,25,0,0,101,0
2021-11-30,Sweden,1,0,0,9,0
2021-12-01,Afghanistan,3,0,0,37,0
2021-12-01,Japan,25,0,0,101,0
2021-12-01,Sweden,1,0,0,9,0
